id,facility,cat_id,app_type,exam_day,start_time,site_id,deleted_at
289,1,7,1,wed,1:00 PM,7,6/27/19 21:06
Group 85,Group 85,Group 85,Group 85,Group 85,Group 85,Group 85,Group 85
163,1,7,1,wed,2:00 PM,6,12/10/18 19:36
218,1,7,1,wed,2:00 PM,6,1/7/19 21:31
261,1,7,1,wed,2:00 PM,6,11/12/19 15:33
644,1,7,1,wed,2:00 PM,6,Not Deleted
Group 86,Group 86,Group 86,Group 86,Group 86,Group 86,Group 86,Group 86
268,1,7,1,wed,2:00 PM,9,8/26/19 17:51
1105,1,7,1,wed,02:00P.M,9,Not Deleted
Group 87,Group 87,Group 87,Group 87,Group 87,Group 87,Group 87,Group 87
256,1,7,1,wed,10:00 AM,35,4/17/19 15:09
407,1,7,1,wed,10:00 AM,35,Not Deleted
Group 88,Group 88,Group 88,Group 88,Group 88,Group 88,Group 88,Group 88
259,1,7,1,wed,11:00 AM,6,1/22/19 21:30
594,1,7,1,wed,11:00 AM,6,Not Deleted
Group 89,Group 89,Group 89,Group 89,Group 89,Group 89,Group 89,Group 89
1095,1,7,1,wed,11:30A.M,9,4/9/25 18:00
1100,1,7,1,wed,11:30A.M,9,Not Deleted
Group 90,Group 90,Group 90,Group 90,Group 90,Group 90,Group 90,Group 90
209,1,7,1,wed,12:00 PM,6,12/11/18 16:00
359,1,7,1,wed,12:00 PM,6,2/18/19 17:09
Group 91,Group 91,Group 91,Group 91,Group 91,Group 91,Group 91,Group 91
234,1,9,1,tue,11:00 AM,8,1/17/19 16:57
361,1,9,1,tue,11:00 AM,8,Not Deleted
Group 92,Group 92,Group 92,Group 92,Group 92,Group 92,Group 92,Group 92
783,2,1,1,tue,9:00 AM,5,4/9/25 18:00
789,2,1,1,tue,9:00 AM,5,Not Deleted
Group 93,Group 93,Group 93,Group 93,Group 93,Group 93,Group 93,Group 93
1,2,1,1,wed,2:00 PM,5,Not Deleted
74,2,1,1,wed,2:00 PM,5,4/9/25 18:00
82,2,1,1,wed,2:00 PM,5,4/9/25 18:00
322,2,1,1,wed,2:00 PM,5,4/9/25 18:00
324,2,1,1,wed,2:00 PM,5,4/9/25 18:00
Group 94,Group 94,Group 94,Group 94,Group 94,Group 94,Group 94,Group 94
2,2,1,1,wed,9:00 AM,5,9/26/22 16:36
73,2,1,1,wed,9:00 AM,5,4/9/25 18:00
170,2,1,1,wed,9:00 AM,5,4/9/25 18:00
317,2,1,1,wed,9:00 AM,5,4/9/25 18:00
320,2,1,1,wed,9:00 AM,5,4/9/25 18:00
321,2,1,1,wed,9:00 AM,5,4/9/25 18:00
323,2,1,1,wed,9:00 AM,5,Not Deleted
Group 95,Group 95,Group 95,Group 95,Group 95,Group 95,Group 95,Group 95
86,2,2,1,thur,2:00 PM,12,4/9/25 18:00
167,2,2,1,thur,2:00 PM,12,Not Deleted
Group 96,Group 96,Group 96,Group 96,Group 96,Group 96,Group 96,Group 96
84,2,2,1,thur,2:00 PM,13,1/30/19 15:28
313,2,2,1,thur,2:00 PM,13,4/9/25 18:00
318,2,2,1,thur,2:00 PM,13,Not Deleted
Group 97,Group 97,Group 97,Group 97,Group 97,Group 97,Group 97,Group 97
85,2,2,1,thur,9:00 AM,12,4/9/25 18:00
166,2,2,1,thur,9:00 AM,12,Not Deleted
Group 98,Group 98,Group 98,Group 98,Group 98,Group 98,Group 98,Group 98
88,2,2,1,tue,2:00 PM,11,1/30/19 15:24
316,2,2,1,tue,2:00 PM,11,Not Deleted
Group 99,Group 99,Group 99,Group 99,Group 99,Group 99,Group 99,Group 99
94,2,2,1,tue,2:00 PM,14,8/19/21 15:40
165,2,2,1,tue,2:00 PM,14,4/9/25 18:00
315,2,2,1,tue,2:00 PM,14,Not Deleted
Group 100,Group 100,Group 100,Group 100,Group 100,Group 100,Group 100,Group 100
95,2,2,1,tue,9:00 AM,13,4/9/25 18:00
311,2,2,1,tue,9:00 AM,13,Not Deleted
Group 101,Group 101,Group 101,Group 101,Group 101,Group 101,Group 101,Group 101
83,2,2,1,tue,9:00 AM,14,4/9/25 18:00
164,2,2,1,tue,9:00 AM,14,Not Deleted
Group 102,Group 102,Group 102,Group 102,Group 102,Group 102,Group 102,Group 102
87,2,2,1,wed,2:00 PM,5,4/9/25 18:00
308,2,2,1,wed,2:00 PM,5,4/9/25 18:00
310,2,2,1,wed,2:00 PM,5,Not Deleted
Group 103,Group 103,Group 103,Group 103,Group 103,Group 103,Group 103,Group 103
175,2,3,1,thur,9:00 AM,13,4/9/25 18:00
314,2,3,1,thur,9:00 AM,13,Not Deleted
Group 104,Group 104,Group 104,Group 104,Group 104,Group 104,Group 104,Group 104
171,2,7,1,wed,2:00 PM,5,1/31/19 13:56
326,2,7,1,wed,2:00 PM,5,Not Deleted
Group 105,Group 105,Group 105,Group 105,Group 105,Group 105,Group 105,Group 105
307,2,7,1,wed,9:00 AM,5,4/9/25 18:00
325,2,7,1,wed,9:00 AM,5,Not Deleted
Group 106,Group 106,Group 106,Group 106,Group 106,Group 106,Group 106,Group 106
150,3,1,1,fri,1:00 PM,3,Not Deleted
747,3,1,1,fri,1:00 PM,3,2/19/21 16:02
921,3,1,1,fri,01:00 P.M,3,4/9/25 18:00
960,3,1,1,fri,01:00 P.M,3,Not Deleted
969,3,1,1,fri,01:00PM,3,Not Deleted
Group 107,Group 107,Group 107,Group 107,Group 107,Group 107,Group 107,Group 107
148,3,1,1,fri,1:00 PM,4,Not Deleted
745,3,1,1,fri,1:00 PM,4,2/19/21 16:02
Group 108,Group 108,Group 108,Group 108,Group 108,Group 108,Group 108,Group 108
687,3,1,1,fri,1:00 PM,41,0000-00-00 00:00:00
749,3,1,1,fri,1:00 PM,41,2/19/21 16:02
Group 109,Group 109,Group 109,Group 109,Group 109,Group 109,Group 109,Group 109
809,3,1,1,fri,1:00 PM,45,10/19/24 18:31
824,3,1,1,fri,1:00 PM,45,10/19/24 18:31
Group 110,Group 110,Group 110,Group 110,Group 110,Group 110,Group 110,Group 110
926,3,1,1,fri,01:00 P.M,48,4/9/25 18:00
966,3,1,1,fri,01:00 P.M,48,Not Deleted
Group 111,Group 111,Group 111,Group 111,Group 111,Group 111,Group 111,Group 111
149,3,1,1,fri,9:00 AM,3,Not Deleted
746,3,1,1,fri,9:00 AM,3,2/19/21 16:02
911,3,1,1,fri,09:00 A.M,3,4/9/25 18:00
959,3,1,1,fri,09:00 A.M,3,Not Deleted
968,3,1,1,fri,09:00AM,3,Not Deleted
Group 112,Group 112,Group 112,Group 112,Group 112,Group 112,Group 112,Group 112
147,3,1,1,fri,9:00 AM,4,Not Deleted
744,3,1,1,fri,9:00 AM,4,2/19/21 16:02
Group 113,Group 113,Group 113,Group 113,Group 113,Group 113,Group 113,Group 113
686,3,1,1,fri,9:00 AM,41,0000-00-00 00:00:00
748,3,1,1,fri,9:00 AM,41,2/19/21 16:02
Group 114,Group 114,Group 114,Group 114,Group 114,Group 114,Group 114,Group 114
808,3,1,1,fri,9:00 AM,45,10/19/24 18:31
823,3,1,1,fri,9:00 AM,45,10/19/24 18:31
Group 115,Group 115,Group 115,Group 115,Group 115,Group 115,Group 115,Group 115
916,3,1,1,fri,09:00 A.M,48,4/9/25 18:00
965,3,1,1,fri,09:00 A.M,48,Not Deleted
Group 116,Group 116,Group 116,Group 116,Group 116,Group 116,Group 116,Group 116
100,3,1,1,mon,1:00 PM,3,7/16/19 14:54
